Date,open,high,low,close,volume,adjusted_close
1992-01-28,1.875,1.875,1.750,1.750,6900,2.443
1992-01-29,1.875,1.875,1.875,1.875,6700,2.617
1992-01-30,1.875,1.875,1.750,1.875,3000,2.617
1992-01-31,1.875,1.875,1.750,1.875,6500,2.617
1992-02-03,1.875,1.875,1.750,1.750,4900,2.443
1992-02-04,1.875,1.875,1.875,1.875,500,2.617
1992-02-05,1.875,1.875,1.750,1.875,2700,2.617
1992-02-06,1.875,1.875,1.750,1.750,2300,2.443
1992-02-07,1.875,1.875,1.875,1.875,3300,2.617
1992-02-10,3.750,3.875,3.500,3.875,3600,2.704
1992-02-11,3.875,3.875,3.875,3.875,100,2.704
1992-02-12,3.875,3.875,3.875,3.875,100,2.704
1992-02-13,3.750,3.750,3.625,3.750,1500,2.617
1992-02-14,3.875,3.875,3.875,3.875,1900,2.704
1992-02-18,3.875,3.875,3.625,3.625,6100,2.530
1992-02-19,3.625,3.625,3.625,3.625,300,2.530
1992-02-20,3.750,3.875,3.750,3.875,3000,2.704
1992-02-21,3.750,3.750,3.750,3.750,1000,2.617
1992-02-24,3.750,3.875,3.750,3.875,500,2.704
1992-02-25,3.875,3.875,3.875,3.875,100,2.704
1992-02-26,3.875,3.875,3.875,3.875,100,2.704
1992-02-27,3.750,3.750,3.625,3.625,4000,2.530
1992-02-28,3.625,3.625,3.500,3.625,5900,2.530
1992-03-02,3.500,3.500,3.250,3.250,2300,2.268
1992-03-03,3.250,3.250,3.000,3.250,9500,2.268
1992-03-04,3.250,3.250,3.250,3.250,300,2.268
1992-03-05,3.250,3.750,3.125,3.625,5500,2.530
1992-03-06,3.625,3.875,3.625,3.625,5600,2.530
1992-03-09,3.750,3.875,3.750,3.750,400,2.617
1992-03-10,3.750,3.750,3.750,3.750,300,2.617
1992-03-11,3.625,3.625,3.500,3.500,2100,2.443
1992-03-12,3.375,3.375,3.375,3.375,400,2.355
1992-03-13,3.500,3.500,3.500,3.500,100,2.443
1992-03-16,3.375,3.375,3.375,3.375,200,2.355
1992-03-17,3.500,3.500,3.500,3.500,500,2.443
1992-03-18,3.500,3.500,3.500,3.500,1500,2.443
1992-03-19,3.625,3.750,3.625,3.750,3500,2.617
1992-03-20,3.750,3.750,3.500,3.750,5000,2.617
1992-03-23,3.625,3.625,3.500,3.500,4500,2.443
1992-03-24,3.500,3.500,3.500,3.500,500,2.443
1992-03-25,3.625,3.625,3.625,3.625,100,2.530
1992-03-26,3.625,3.625,3.625,3.625,1000,2.530
1992-03-27,3.500,3.500,3.500,3.500,3000,2.443
1992-03-30,3.375,3.500,3.375,3.500,1000,2.443
1992-03-31,3.375,3.375,3.375,3.375,1500,2.355
1992-04-01,3.375,3.500,3.250,3.250,7600,2.268
1992-04-02,3.250,3.250,3.125,3.250,2400,2.268
1992-04-03,3.125,3.250,3.125,3.125,2900,2.181
1992-04-06,3.250,3.250,3.250,3.250,7000,2.268
1992-04-07,3.125,3.125,3.125,3.125,1300,2.181
1992-04-08,3.125,3.125,3.000,3.125,3500,2.181
1992-04-09,3.125,3.375,3.125,3.250,11600,2.268
1992-04-10,3.375,3.500,3.375,3.500,3000,2.443
1992-04-13,3.500,3.500,3.375,3.375,3200,2.355
1992-04-14,3.375,3.375,3.375,3.375,400,2.355
1992-04-15,3.375,3.375,3.375,3.375,900,2.355
1992-04-16,3.375,3.375,3.375,3.375,1600,2.355
1992-04-20,3.500,3.500,3.500,3.500,100,2.443
1992-04-21,3.375,3.375,3.375,3.375,2000,2.355
1992-04-22,3.250,3.250,3.250,3.250,400,2.268
1992-04-23,3.250,3.250,3.250,3.250,1900,2.268
1992-04-24,3.250,3.250,3.250,3.250,200,2.268
1992-04-27,3.250,3.250,3.250,3.250,2000,2.268
1992-04-28,3.250,3.375,3.250,3.250,3600,2.268
1992-04-29,3.375,3.375,3.375,3.375,100,2.355
1992-04-30,3.250,3.250,3.250,3.250,200,2.268
