Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
2/8/2013,13.41,27.6865,56023108,119.7772,13.943,12.9,11.804,98.91,73.3912,14921373696,0.0133,0.8017,13.41,0.1025,3.0947,,,,,,,,
2/11/2013,13.57,31.9469,26678276,122.3994,13.85,13.19,12.021,99.0518,74.3472,15099406336,0.035,0.8015,13.57,0.1079,3.1451,,,,,,,,
2/12/2013,13.51,32.8128,14440678,121.4161,13.66,13.44,12.23,92.2988,73.3253,15032643584,0.0311,0.8012,13.51,0.1145,3.207,,,,,,,,
2/13/2013,13.73,32.0813,18115600,125.0217,13.74,13.395,12.472,94.399,74.6471,15277438976,0.0342,0.8012,13.73,0.1236,3.2917,,,,,,,,
2/14/2013,14,31.806,26298656,129.4467,14.07,13.64,12.732,96.2711,76.1478,15577869312,0.0379,0.8013,14,0.1256,3.3513,,,,,,,,
2/15/2013,14.37,30.9546,13936895,135.5107,14.52,14,13.004,97.7897,77.9943,15989570560,0.0431,0.801,14.37,0.1234,3.262,,,,,,,,
2/19/2013,14.63,30.3431,15248618,139.7718,14.65,13.98,13.307,98.4535,79.1667,16278873088,0.0442,0.8027,14.63,0.125,3.2711,,,,,,,,
2/20/2013,14.24,32.0223,13828477,133.3801,14.62,14.2,13.546,58.7516,73.1216,15844918272,0.0404,0.8049,14.24,0.1267,3.3238,,,,,,,,
2/21/2013,14.28,31.9828,10726233,134.0356,14.4,14.14,13.78,61.1611,73.3377,15889426432,0.0418,0.8045,14.28,0.1272,3.2826,,,,,,,,
2/22/2013,14.51,31.7464,8591652,137.8051,14.56,14.23,14.025,74.1734,74.5541,16159739904,0.0436,0.8053,14.51,0.1245,3.2482,,,,,,,,
2/25/2013,14.33,32.4756,7976815,134.8551,14.7,14.32,14.117,53.2358,71.8984,15959274496,0.0417,0.8023,14.33,0.1242,3.2665,0.0236,,,,,,,
