Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Enterprise Value,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Price Earnings Ratio,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
7/27/2011,161.24,87.9297,54672928768,9793157,1929.4525,165.89,159.5,152.974,67.1584,62.0993,56242274304,0.2445,1.3031,161.24,65.9428,0.2028,30.5923,,,,,,,,
7/28/2011,158.34,88.1463,53661376512,8252856,1892.9515,162.73,156.551,154.726,50.0892,60.1579,55230722048,0.2443,1.3033,158.34,64.6194,0.1977,29.9784,-0.3145,,,,,,,
7/29/2011,157.07,87.9613,53218385920,9803772,1876.9667,158.46,152.34,155.74,42.9229,59.3178,54787731456,0.247,1.3024,157.07,59.7478,0.1784,27.7183,0.0302,,,,,,,
8/1/2011,158.93,87.2492,53867175936,8099465,1900.3776,161.9,155.21,156.82,56.5725,60.1607,55436521472,0.2539,1.3026,158.93,65.7338,0.1532,30.4953,0.0582,,,,,,,
8/2/2011,152.92,87.9858,51770822656,7743622,1824.7325,160.8,152.58,156.856,26.2022,56.264,53340168192,0.2532,1.3036,152.92,64.2632,0.1329,29.8131,0.5206,,,,,,,
8/3/2011,152.43,88.0324,51599904768,11448460,1818.5652,155,145.26,156.6,24.5879,55.9583,53169250304,0.2506,1.3029,152.43,67.4224,0.1534,31.2787,0.3331,,,,,,,
8/4/2011,143.92,89.3696,48631525376,9657317,1711.4537,149.59,143.414,155.975,9.4389,50.9816,50200866816,0.2563,1.2969,143.92,68.3219,0.1553,31.696,0.5892,,,,,,,
8/5/2011,140.99,89.6193,47609507840,14898702,1674.5752,147.2,134.73,154.674,7.1605,49.4162,49178853376,0.2541,1.2968,140.99,65.7776,0.1721,30.5157,,,,,,,,
8/8/2011,130.45,91.7253,43949699072,14081282,1541.9132,137,128.77,152.065,3.1099,44.349,45519040512,0.2584,1.2834,130.45,62.1928,0.1642,28.8526,,,,,,,,
8/9/2011,143.64,93.9569,48552198144,16143176,1707.9296,143.85,133,149.993,53.0087,50.8708,50121543680,0.2637,1.2989,143.64,62.7074,0.1659,29.0913,,,,,,,,
8/10/2011,140.79,94.2468,47557722112,12165570,1672.0579,145.99,138.25,147.948,45.4263,49.5723,49127067648,0.2727,1.2799,140.79,58.5357,0.1716,27.156,0,,,,,,,
8/11/2011,148.15,93.9287,50125910016,11655008,1764.6948,151.49,141.7,146.929,64.884,52.7916,51695255552,0.2703,1.2722,148.15,57.797,0.1722,26.8133,0.0599,,,,,,,
8/12/2011,150.15,93.7602,50823786496,7496815,1789.8678,151.98,149.35,146.237,69.3398,53.6239,52393132032,0.273,1.2736,150.15,57.6757,0.1688,26.757,,,,,,,,
8/15/2011,144.64,95.6918,48901136384,14646338,1720.516,152.0871,142.7,144.808,45.4876,51.0584,50470481920,0.2706,1.253,144.64,62.0762,0.1576,28.7985,,,,,,,,
8/16/2011,136.92,96.8993,46207332352,17193132,1623.348,139.46,134.368,143.208,26.4012,47.7476,47776673792,0.2619,1.2574,136.92,60.7801,0.1556,28.1972,-0.1436,,,,,,,
8/17/2011,137.96,96.7909,46570225664,11735693,1636.438,138.37,132.1,141.761,32.1538,48.2155,48139571200,0.2626,1.2574,137.96,60.5213,0.1556,28.0771,,,,,,,,
8/18/2011,128.77,98.5942,43363479552,14249518,1520.7678,133.37,126.61,140.246,15.7925,44.5669,44932825088,0.2607,1.2605,128.77,63.4993,0.1607,29.4587,-0.5197,,,,,,,
8/19/2011,126.98,98.7648,42738880512,14506167,1498.2379,135.65,125.11,138.845,13.7485,43.8976,44308226048,0.2619,1.26,126.98,65.0724,0.1769,30.1885,,,,,,,,
8/22/2011,126.65,99.8396,42623729664,9327296,1494.0844,132.87,125.78,138.465,13.2735,43.7722,44193075200,0.2619,1.2613,126.65,67.3603,0.1867,31.2499,0.0098,,,,,,,
8/23/2011,136.36,100.5687,46011924480,10007479,1616.2996,136.5,128.06,137.737,65.6542,48.2695,47581270016,0.2667,1.2699,136.36,66.1695,0.1798,30.6975,,,,,,,,
8/24/2011,133.68,100.6143,45076770816,9298591,1582.5676,137.86,131.06,137.026,52.5212,47.1918,46646112256,0.2589,1.2649,133.68,65.5117,0.1798,30.3923,,,,,,,,
8/25/2011,133.09,100.6723,44870897664,6060051,1575.1416,136.5,132.32,135.52,49.2669,46.953,46440239104,0.2615,1.2626,133.09,63.7942,0.1724,29.5955,-0.5216,,,,,,,
8/26/2011,139.7,100.5725,47177379840,9942215,1658.3386,140,132.31,134.475,75.1465,49.891,48746725376,0.2693,1.2662,139.7,65.1192,0.1737,30.2102,,,,,,,,
8/29/2011,143.3,101.2321,48433557504,6711138,1703.6501,143.81,140.79,134.341,82.4571,51.4073,50002903040,0.2739,1.2607,143.3,66.4667,0.1819,30.8353,,,,,,,,
8/30/2011,148.35,100.7544,50195697664,10787294,1767.212,149.8,141.5,135.484,89.164,53.4514,51765043200,0.2797,1.2612,148.35,66.7676,0.185,30.9749,-0.0138,,,,,,,
8/31/2011,145.78,101.0002,49298927616,9330585,1734.8647,151.11,142.82,136.266,69.0207,52.2933,50868269056,0.2744,1.26,145.78,65.2958,0.1827,30.2922,,,,,,,,
9/1/2011,144.29,101.1383,48779010048,5501477,1716.1107,147.4,143.7,137.818,57.6872,51.6225,50348351488,0.2765,1.2583,144.29,65.7236,0.1793,30.4906,,,,,,,,
9/2/2011,140.45,101.5072,47439085568,5831477,1667.7784,141.84,137.7301,139.165,35.2875,49.9155,49008427008,0.2735,1.2576,140.45,65.844,0.1772,30.5465,,,,,,,,
9/6/2011,143.19,103.6065,48395173888,7001749,1702.2656,143.5,135.51,140.819,54.2861,51.1089,49964519424,0.2701,1.2511,143.19,67.1332,0.1772,31.1446,0.0246,,,,,,,
9/7/2011,146.05,103.3095,49393139712,8432114,1738.2631,146.86,141.3,141.788,68.6819,52.3352,50962485248,0.266,1.2452,146.05,66.9135,0.1657,31.0427,0.2022,,,,,,,
9/8/2011,147.01,103.2442,49728122880,7230280,1750.3461,149.62,144.8,143.121,72.968,52.7468,51297464320,0.2697,1.2433,147.01,66.755,0.163,30.9691,0.0306,,,,,,,
9/9/2011,143.63,103.5672,48548708352,7596559,1707.8037,148.3,142.0301,144.175,42.3549,51.1385,50118053888,0.2711,1.2403,143.63,66.1972,0.1657,30.7103,0.202,,,,,,,
9/12/2011,144.23,105.9175,48758071296,5139478,1715.3556,145,140.65,144.628,48.1475,51.4106,50327416832,0.2667,1.2382,144.23,63.5772,0.152,29.4949,,,,,,,,
9/13/2011,144.58,105.8896,48880201728,4746629,1719.7609,145.25,142.6,144.756,52.3382,51.5733,50449543168,0.2642,1.2372,144.58,62.8008,0.1472,29.1346,,,,,,,,
9/14/2011,147.48,105.5957,49892122624,7817794,1756.2618,149.29,144.36,144.669,76.2223,52.9245,51461464064,0.2641,1.2371,147.48,56.1025,0.1695,26.0272,0,,,,,,,
9/15/2011,147.17,105.6453,49783951360,5965839,1752.36,149.05,145.51,144.808,70.5532,52.7617,51353296896,0.2508,1.2317,147.17,56.0973,0.1659,26.0248,,,,,,,,
9/16/2011,146.95,105.6812,49707184128,5027761,1749.5909,147.94,145.5,145.074,65.3771,52.6428,51276529664,0.2503,1.2324,146.95,55.8314,0.1743,25.9014,-0.8752,,,,,,,
9/19/2011,145.64,106.5322,49250074624,6196240,1733.1025,146.5,142.02,145.593,39.496,51.9222,50819420160,0.2525,1.2322,145.64,58.152,0.1773,26.978,,,,,,,,
9/20/2011,139.935,107.1745,47259381760,13433468,1661.2964,150.46,138.58,145.2675,11.0139,48.906,48828723200,0.2446,1.2329,139.935,55.2473,0.1778,25.6304,0.0786,,,,,,,
9/21/2011,138.33,107.3709,46699335680,7322296,1641.095,143.3592,138.2699,144.4955,8.4442,48.093,48268677120,0.25,1.226,138.33,50.2192,0.1594,23.2978,0.4827,,,,,,,
9/22/2011,123.18,113.1903,41412915200,17808742,1450.4091,134.73,119.61,142.1125,1.9622,41.376,42982256640,0.2399,1.2472,123.18,41.519,0.1612,19.0751,0.6268,,40.3167,,2.8916,45.064,52.182,1.9798
9/23/2011,123.4,112.8986,41489682432,9647760,1453.1781,125,120.67,140.0895,3.5745,41.4988,43059023872,0.2365,1.2474,123.4,40.817,0.1523,18.7526,0.474,,,,,,,
9/26/2011,122.56,114.6293,41196572672,11565557,1442.6055,125,114.3,137.9225,3.2668,41.1584,42765914112,0.23,1.2395,122.56,42.7305,0.15,19.6317,0.4205,,,,,,,
9/27/2011,127.72,114.3767,42997096448,9557508,1507.5519,130.77,126.11,136.2365,46.0548,44.0733,44566437888,0.2349,1.2419,127.72,43.1261,0.151,19.8134,0.6421,,,,,,,
9/28/2011,121.42,115.9005,40798781440,7632001,1428.2567,128.5,120.73,133.6305,25.4435,41.4781,42368126976,0.2301,1.2462,121.42,46.9262,0.1456,21.5593,0.0439,,,,,,,
