Pricing Date,3M Company (NYSE:MMM) - Share Pricing,3M Company (NYSE:MMM) - Day High Price,3M Company (NYSE:MMM) - Day Low Price,3M Company (NYSE:MMM) - Day Open Price,3M Company (NYSE:MMM) - Volume,3M Company (NYSE:MMM) - Total Enterprise Value,3M Company (NYSE:MMM) - Market Cap/Total Revenues,3M Company (NYSE:MMM) - P/BV,3M Company (NYSE:MMM) - Shares Sold Short,3M Company (NYSE:MMM) - Dividend Yield,3M Company (NYSE:MMM) - Short Interest as % of Shares Outstanding,3M Company (NYSE:MMM) - Latest Annualized Dividend Per Share
May-04-2007,84.21,84.35,83.69,83.90,2936074,62964463050,2.60685400,6.03226900,5399844,0.022800,0.00749765,1.92
May-07-2007,84.93,85.00,83.95,84.21,3646879,63483010650,2.62914200,6.08384500,5399844,0.022606,0.00749765,1.92
May-08-2007,84.78,84.94,84.15,84.42,3406748,63374979900,2.62449900,6.07310000,5399844,0.022646,0.00749765,1.92
May-09-2007,85.36,85.49,84.40,84.40,4050441,63792698800,2.64245400,6.11464800,5399844,0.022492,0.00749765,1.92
May-10-2007,84.65,85.36,84.38,85.00,3181300,63281353250,2.62047500,6.06378800,5399844,0.022681,0.00749765,1.92
May-11-2007,85.55,85.85,84.78,84.78,4106200,63929537750,2.64833600,6.12825800,5399844,0.022443,0.00749765,1.92
May-14-2007,84.83,85.58,84.42,85.30,3498200,63410990150,2.62604700,6.07668200,5399844,0.022633,0.00749765,1.92
May-15-2007,86.17,87.08,84.85,84.85,6580100,64376064850,2.66752900,6.17267100,5399844,0.022281,0.00749765,1.92
May-16-2007,86.01,86.48,84.91,86.48,4045120,64260832050,2.66257600,6.16121000,5399844,0.022322,0.00749765,1.92
May-17-2007,86.67,86.90,85.75,86.09,4186372,64736167350,2.68300700,6.20848800,5399844,0.022152,0.00749765,1.92
May-18-2007,86.90,87.32,86.80,86.93,3953500,64901814500,2.69012700,6.22496400,5399844,0.022094,0.00749765,1.92
May-21-2007,87.06,87.18,86.62,86.88,3591306,65017047300,2.69508000,6.23642500,5399844,0.022053,0.00749765,1.92
May-22-2007,87.78,88.05,87.04,87.06,3567414,65535594900,2.71736900,6.28800100,9520189,0.021872,0.01321872,1.92
May-23-2007,87.94,88.49,87.57,87.65,3399316,65650827700,2.72232200,6.29946300,9520189,0.021833,0.01321872,1.92
May-24-2007,87.15,89.03,87.03,87.62,4452575,65081865750,2.69786600,6.24287200,9520189,0.022030,0.01321872,1.92
May-25-2007,87.35,87.98,87.16,87.55,2793800,65225906750,2.70405700,6.25719900,9520189,0.021980,0.01321872,1.92
May-29-2007,87.31,87.72,86.25,87.17,3293965,65197098550,2.70281900,6.25433300,9520189,0.021990,0.01321872,1.92
May-30-2007,87.93,87.95,86.88,87.30,3607575,65643625650,2.72201200,6.29874600,9520189,0.021835,0.01321872,1.92
May-31-2007,87.96,88.46,87.63,87.93,3562177,65665231800,2.72294100,6.30089500,9520189,0.021828,0.01321872,1.92
Jun-01-2007,88.43,88.43,87.43,87.95,2852832,66003728150,2.73749100,6.33456300,9520189,0.021712,0.01321872,1.92
Jun-04-2007,88.07,88.43,87.56,88.43,2319999,65744454350,2.72634600,6.30877500,9520189,0.021800,0.01321872,1.92
Jun-05-2007,87.46,88.35,87.23,88.07,2529262,65305129300,2.70746300,6.26507800,9520189,0.021952,0.01321872,1.92
Jun-06-2007,86.62,87.47,86.29,87.47,3009400,64700157100,2.68145900,6.20490600,9520189,0.022165,0.01321872,1.92
Jun-07-2007,84.88,86.91,84.42,86.62,4791320,63447000400,2.62759500,6.08026400,9520189,0.022620,0.01321872,1.92
Jun-08-2007,85.94,86.00,84.55,84.88,3602500,64210417700,2.66040900,6.15619500,9520189,0.022341,0.01321872,1.92
Jun-11-2007,85.30,85.98,85.17,85.94,2923700,63749486500,2.64059600,6.11035000,9520189,0.022508,0.01321872,1.92
Jun-12-2007,85.04,85.71,84.40,85.30,3425761,63562233200,2.63254800,6.09172500,9520189,0.022577,0.01321872,1.92
Jun-13-2007,87.19,87.25,85.02,85.70,4541400,65110673950,2.69910400,6.24573700,9520189,0.022020,0.01321872,1.92
Jun-14-2007,87.42,87.87,86.92,87.07,2881148,65276321100,2.70622400,6.26221300,9520189,0.021962,0.01321872,1.92
Jun-15-2007,87.67,88.49,87.52,87.58,4520800,65456372350,2.71396300,6.28012100,9520189,0.021900,0.01321872,1.92
Jun-18-2007,87.62,88.03,86.82,87.68,2789900,65420362100,2.71241600,6.27654000,9520189,0.021912,0.01321872,1.92
Jun-19-2007,87.82,87.93,86.92,87.43,2348100,65564403100,2.71860700,6.29086600,9520189,0.021862,0.01321872,1.92
Jun-20-2007,87.08,88.30,86.99,87.97,2891072,65031451400,2.69569900,6.23785800,9520189,0.022048,0.01321872,1.92
Jun-21-2007,87.41,87.82,86.12,86.91,2723400,65269119050,2.70591500,6.26149700,9954714,0.021965,0.01382206,1.92
Jun-22-2007,86.43,87.41,86.13,86.56,4802382,64563318150,2.67557700,6.19129600,9954714,0.022214,0.01382206,1.92
Jun-25-2007,86.25,87.72,85.86,86.60,2879300,64433681250,2.67000500,6.17840200,9954714,0.022260,0.01382206,1.92
Jun-26-2007,86.08,87.00,85.90,86.49,3034402,64311246400,2.66474300,6.16622400,9954714,0.022304,0.01382206,1.92
Jun-27-2007,87.13,87.23,85.77,85.82,3255900,65067461650,2.69724700,6.24143900,9954714,0.022036,0.01382206,1.92
Jun-28-2007,86.85,87.27,86.49,87.00,2342400,64865804250,2.68857900,6.22138200,9954714,0.022107,0.01382206,1.92
Jun-29-2007,86.79,87.86,86.22,87.10,3322050,64822591950,2.68672200,6.21708400,9954714,0.022122,0.01382206,1.92
Jul-02-2007,88.00,88.00,87.13,87.29,2407300,65694040000,2.72417900,6.30376100,9954714,0.021818,0.01382206,1.92
Jul-03-2007,87.94,88.18,87.54,88.00,1053200,65650827700,2.72232200,6.29946300,9954714,0.021833,0.01382206,1.92
Jul-05-2007,87.76,88.40,87.38,87.68,1886000,65521190800,2.71675000,6.28656800,9954714,0.021877,0.01382206,1.92
Jul-06-2007,88.11,88.81,87.56,87.95,2009300,65773262550,2.72758400,6.31164000,9954714,0.021790,0.01382206,1.92
Jul-09-2007,88.11,88.57,87.90,87.97,2323589,65773262550,2.72758400,6.31164000,9954714,0.021790,0.01382206,1.92
Jul-10-2007,87.22,88.36,87.17,87.94,3430700,65132280100,2.70003300,6.24788600,9954714,0.022013,0.01382206,1.92
Jul-11-2007,87.88,88.27,87.07,87.22,2567600,65607615400,2.72046400,6.29516500,9954714,0.021847,0.01382206,1.92
Jul-12-2007,89.93,89.96,87.60,87.67,4195000,67084035650,2.78392500,6.44201300,9954714,0.021349,0.01382206,1.92
Jul-13-2007,90.22,90.24,89.40,89.58,3609800,67292895100,2.79290300,6.46278700,9954714,0.021281,0.01382206,1.92
Jul-16-2007,90.87,92.32,89.83,90.63,4584100,67761028350,2.81302500,6.50934900,9954714,0.021129,0.01382206,1.92
Jul-17-2007,91.08,91.68,90.59,91.44,2550100,67912271400,2.81952500,6.52439200,9954714,0.021080,0.01382206,1.92
Jul-18-2007,91.48,91.96,91.00,91.10,4352500,68200353400,2.83190800,6.55304600,9954714,0.020988,0.01382206,1.92
Jul-19-2007,91.17,91.95,90.41,91.80,2788500,67977089850,2.82231200,6.53083900,9954714,0.021059,0.01382206,1.92
Jul-20-2007,90.21,91.41,88.60,90.50,5109454,67285693050,2.79259300,6.46207100,8572744,0.021283,0.01190320,1.92
Jul-23-2007,90.87,91.42,90.35,90.61,2767932,67761028350,2.81302500,6.50934900,8572744,0.021129,0.01190320,1.92
Jul-24-2007,89.69,91.23,89.35,90.54,3644302,66911186450,2.77649600,6.42482100,8572744,0.021407,0.01190320,1.92
Jul-25-2007,89.62,90.29,88.04,90.24,5098140,66860772100,2.77432900,6.41980700,8572744,0.021423,0.01190320,1.92
Jul-26-2007,90.05,91.91,88.74,89.62,7580530,67410460250,2.73428300,6.27519900,8572744,0.021321,0.01190320,1.92
Jul-27-2007,90.05,92.00,90.05,90.40,6248701,67014870600,2.71760400,6.27519900,8572744,0.021321,0.01197625,1.92
Jul-30-2007,90.18,90.90,89.77,90.18,4845749,67107926160,2.72152800,6.28425800,8572744,0.021290,0.01197625,1.92
Jul-31-2007,88.92,90.48,88.78,89.46,5724563,66206003040,2.68350200,6.19645400,8572744,0.021592,0.01197625,1.92
Aug-01-2007,89.07,89.47,87.75,88.94,5677274,66313374840,2.68802900,6.20690700,8572744,0.021556,0.01197625,1.92
Aug-02-2007,89.12,89.46,88.40,89.06,3854529,66349165440,2.68953800,6.21039100,8572744,0.021543,0.01197625,1.92
Aug-03-2007,87.56,89.15,87.51,88.68,5021361,65232498720,2.64245900,6.10168100,8572744,0.021927,0.01197625,1.92
Aug-06-2007,87.77,88.37,86.61,87.70,5717746,65382819240,2.64879700,6.11631500,8572744,0.021875,0.01197625,1.92
Aug-07-2007,88.03,88.71,86.95,86.96,4512152,65568930360,2.65664300,6.13443400,8572744,0.021810,0.01197625,1.92
Aug-08-2007,88.15,88.57,86.99,87.90,4757072,65654827800,2.66026500,6.14279600,8572744,0.021781,0.01197625,1.92
Aug-09-2007,86.86,88.13,86.77,87.90,5069600,64731430320,2.62133400,6.05290100,8572744,0.022104,0.01197625,1.92
Aug-10-2007,85.97,86.69,84.76,86.36,5859688,64094357640,2.59447500,5.99088100,8572744,0.022333,0.01197625,1.92
Aug-13-2007,86.25,87.16,85.75,87.16,3204900,64294785000,2.60292500,6.01039300,8572744,0.022260,0.01197625,1.92
Aug-14-2007,85.76,86.76,85.39,86.27,3468496,63944037120,2.58813700,5.97624700,8572744,0.022388,0.01197625,1.92
Aug-15-2007,85.06,86.43,84.93,84.94,3913342,63442968720,2.56701200,5.92746700,8572744,0.022572,0.01197625,1.92
Aug-16-2007,85.40,86.28,83.21,83.21,6718500,63686344800,2.57727300,5.95116000,8572744,0.022482,0.01197625,1.92
Aug-17-2007,87.83,89.11,86.03,87.00,6135400,65425767960,2.65060700,6.12049600,8572744,0.021860,0.01197625,1.92
Aug-20-2007,88.27,88.84,87.40,87.55,3214900,65740725240,2.66388600,6.15115800,8572744,0.021751,0.01197625,1.92
Aug-21-2007,88.46,88.74,87.65,88.10,3081600,65876729520,2.66962000,6.16439800,8572744,0.021704,0.01197625,1.92
Aug-22-2007,89.07,89.58,88.05,88.52,3059800,66313374840,2.68802900,6.20690700,8309151,0.021556,0.01160801,1.92
Aug-23-2007,88.75,89.34,88.22,89.34,2714500,66084315000,2.67837200,6.18460700,8309151,0.021633,0.01160801,1.92
Aug-24-2007,89.15,89.15,88.00,88.50,2987400,66370639800,2.69044300,6.21248200,8309151,0.021536,0.01160801,1.92
Aug-27-2007,88.70,89.27,87.95,88.80,2182400,66048524400,2.67686300,6.18112300,8309151,0.021645,0.01160801,1.92
Aug-28-2007,87.62,89.49,87.59,88.59,3174800,65275447440,2.64427000,6.10586200,8309151,0.021912,0.01160801,1.92
Aug-29-2007,88.76,88.85,87.51,88.05,2763300,66091473120,2.67867400,6.18530400,8309151,0.021631,0.01160801,1.92
Aug-30-2007,89.36,89.99,88.08,88.40,3543900,66520960320,2.69678100,6.22711600,8309151,0.021486,0.01160801,1.92
Aug-31-2007,90.99,91.51,89.55,89.81,4938100,67687733880,2.74597300,6.34070300,8309151,0.021101,0.01160801,1.92
Sep-04-2007,91.15,91.50,89.90,90.96,3052100,67802263800,2.75080100,6.35185300,8309151,0.021064,0.01160801,1.92
Sep-05-2007,89.92,90.75,89.56,90.40,3231400,66921815040,2.71368100,6.26614000,8309151,0.021352,0.01160801,1.92
Sep-06-2007,90.63,91.04,90.08,90.26,2639300,67430041560,2.73510800,6.31561600,8309151,0.021185,0.01160801,1.92
Sep-07-2007,88.92,90.40,88.67,90.39,3581200,66206003040,2.68350200,6.19645400,8309151,0.021592,0.01160801,1.92
Sep-10-2007,87.82,89.87,87.21,89.13,5237927,65418609840,2.65030600,6.11980000,8309151,0.021862,0.01160801,1.92
Sep-11-2007,88.24,88.62,87.65,88.01,3369000,65719250880,2.66298100,6.14906800,8309151,0.021758,0.01160801,1.92
Sep-12-2007,89.08,89.77,88.31,88.56,3176162,66320532960,2.68833100,6.20760400,8309151,0.021553,0.01160801,1.92
Sep-13-2007,89.09,89.69,88.69,89.67,3090900,66327691080,2.68863300,6.20830000,8309151,0.021551,0.01160801,1.92
Sep-14-2007,89.02,89.47,88.45,88.66,2345100,66277584240,2.68652000,6.20342200,8309151,0.021568,0.01160801,1.92
Sep-17-2007,88.93,89.74,88.74,88.95,1894488,66213161160,2.68380400,6.19715100,8309151,0.021590,0.01160801,1.92
Sep-18-2007,91.66,91.76,89.25,89.25,4353281,68167327920,2.76619200,6.38739300,8309151,0.020946,0.01160801,1.92
Sep-19-2007,91.96,92.25,91.08,91.75,4796268,68382071520,2.77524600,6.40829800,8309151,0.020878,0.01160801,1.92
Sep-20-2007,91.44,92.30,91.10,91.23,3315738,68009849280,2.75955300,6.37206200,8309151,0.020997,0.01160801,1.92
Sep-21-2007,91.68,92.50,91.24,92.50,4976500,68181644160,2.76679600,6.38878600,7727498,0.020942,0.01079543,1.92
Sep-24-2007,91.81,92.74,91.50,91.60,3198200,68274699720,2.77071900,6.39784600,7727498,0.020912,0.01079543,1.92
Sep-25-2007,91.91,92.30,90.33,91.49,2409100,68346280920,2.77373700,6.40481400,7727498,0.020890,0.01079543,1.92
Sep-26-2007,92.54,92.94,91.77,92.17,3407300,68797242480,2.79275000,6.44871600,7727498,0.020747,0.01079543,1.92
Sep-27-2007,93.39,93.60,92.69,92.80,3255000,69405682680,2.81840200,6.50794900,7727498,0.020558,0.01079543,1.92
Sep-28-2007,93.58,93.98,93.09,93.98,3845600,69541686960,2.82413600,6.52118900,7727498,0.020517,0.01079543,1.92
Oct-01-2007,94.74,94.99,93.68,93.84,4186574,70372028880,2.85914300,6.60202500,7727498,0.020265,0.01079543,1.92
Oct-02-2007,93.89,94.88,93.59,94.35,3500300,69763588680,2.83349100,6.54279200,7727498,0.020449,0.01079543,1.92
Oct-03-2007,94.19,94.79,93.47,93.66,2833461,69978332280,2.84254500,6.56369800,7727498,0.020384,0.01079543,1.92
Oct-04-2007,94.25,94.89,94.02,94.50,2409400,70021281000,2.84435600,6.56787900,7727498,0.020371,0.01079543,1.92
Oct-05-2007,95.85,95.92,94.63,94.75,3760200,71166580200,2.89264200,6.67937600,7727498,0.020031,0.01079543,1.92
Oct-08-2007,95.41,95.95,95.01,95.75,2216800,70851622920,2.87936300,6.64871400,7727498,0.020123,0.01079543,1.92
Oct-09-2007,95.62,96.00,94.85,94.87,3459100,71001943440,2.88570100,6.66334800,7727498,0.020079,0.01079543,1.92
Oct-10-2007,95.82,97.00,95.12,95.12,2931536,71145105840,2.89173600,6.67728500,7727498,0.020037,0.01079543,1.92
Oct-11-2007,94.36,96.49,93.92,96.10,3679395,70100020320,2.84767500,6.57554400,7727498,0.020347,0.01079543,1.92
